,title,year,age,run,history,owners_pts,modification,volume,engine_type,transmission,gear,body,color,wheel,exchange,mark,accident,other_history,tech_history,sold,pts_type,price,horse_power
801,Ford Mondeo 2.0 MT,2001,III,355000,11.0,3,2.0 MT,2.0,Бензин,Механика,Передний,Хэтчбек,Серебряный,Левый,Не интересует,ниже,0,2,2,1,Оригинал,220000,145
802,Subaru Forester 2.0 AT,2003,SG,274000,9.0,4+,2.0 AT,2.0,Бензин,Автомат,Полный,Внедорожник,Зелёный,Левый,другое,выше,1,4,1,2,Оригинал,685000,125
803,Ford Focus 2.0 AMT,2013,III,186500,9.0,3,2.0 AMT,2.0,Бензин,Робот,Передний,Хэтчбек,Другой,Левый,Не интересует,выше,1,3,4,1,Оригинал,875000,150
804,BMW X7 3.0 AT,2022,G07,18500,11.267396907216495,1,40i 3.0 xDrive Steptronic,3.0,Бензин,Автомат,Полный,Внедорожник,Серый,Левый,Не интересует,нет оценки,1,2,5,2,Оригинал,8300000,340
805,Kia Sorento 2.4 MT,2004,I,364136,11.0,3,2.4 4WD MT,2.4,Бензин,Механика,Полный,Внедорожник,Бежевый,Левый,Не интересует,соответствует,1,2,5,2,Оригинал,585000,139
806,Mazda 3 2.0 AT,2008,BK рестайлинг,221900,17.0,4+,2.0 AT,2.0,Бензин,Автомат,Передний,Седан,Серый,Левый,Не интересует,выше,0,4,1,2,Дубликат,630000,150
807,Chevrolet Orlando 1.8 AT,2014,I,151377,4.0,3,1.8 AT,1.8,Бензин,Автомат,Передний,Minivan,Синий,Левый,Не интересует,ниже,0,2,1,2,Другое,920000,141
808,Hyundai Sonata 2.0 AT,2019,VII рестайлинг,95150,3.0,1,2.0 CNG AT,2.0,другое,Автомат,Передний,Седан,Белый,Левый,Не интересует,ниже,1,1,5,2,Электронный,1450000,151
809,ВАЗ (LADA) Vesta 1.6 MT,2020,I,200000,3.0,1,1.6 MT,1.6,Бензин,Механика,Передний,Седан,Белый,Левый,Не интересует,нет оценки,0,1,5,2,Электронный,535000,106
810,Toyota Land Cruiser 4.7 AT,2009,200,373596,14.0,4+,4.7 AT,4.7,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,Не интересует,выше,0,9,2,3,Другое,2800000,288
811,BMW 5 серия 2.0 AT,2018,G30/G31,169000,8.0,3,520d 2.0 Steptronic,2.0,Дизель,Автомат,Задний,Седан,Чёрный,Левый,Не интересует,выше,1,3,1,3,Оригинал,2700000,190
812,Kia Ceed 1.6 AMT,2016,JD рестайлинг,43300,17.0,1,1.6 AMT,1.6,Бензин,Робот,Передний,Хэтчбек,Белый,Левый,другое,выше,0,1,16,2,Оригинал,1599000,135
813,Ford Focus 1.6 AT,2010,II рестайлинг,206000,15.0,4+,1.6 AT,1.6,Бензин,Автомат,Передний,Хэтчбек,Чёрный,Левый,Не интересует,соответствует,0,10,5,4,Оригинал,600000,100
814,FIAT Ducato 2.3 MT,2017,III рестайлинг,242000,3.0,2,2.3 TD MT,2.3,Дизель,Механика,Передний,Van,Белый,Левый,Не интересует,выше,0,2,5,2,Оригинал,2670000,130
815,Mercedes-Benz Maybach S-класс 4.0 AT,2018,X222 рестайлинг,122000,34.0,3,S 560 4.0 4MATIC 9G-Tronic,4.0,Бензин,Автомат,Полный,Седан,Чёрный,Левый,Не интересует,соответствует,1,3,27,4,Оригинал,7900000,469
816,Skoda Octavia 1.8 AMT,2019,III рестайлинг,29999,5.0,2,1.8 TSI DSG,1.8,Бензин,Робот,Передний,Хэтчбек,Белый,Левый,Возможен,выше,1,2,2,2,Оригинал,2750000,180
817,Mazda CX-7 2.3 AT,2011,I рестайлинг,173600,4.0,3,2.3 4WD AT,2.3,Бензин,Автомат,Полный,Внедорожник,Серебряный,Левый,другое,соответствует,0,3,5,2,Оригинал,899000,238
818,Nissan Almera 1.6 AT,2013,G15,189900,7.0,2,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Белый,Левый,Не интересует,соответствует,0,2,1,1,Оригинал,690000,102
